dataset,FCN,ResNet,Inception,InceptionTime,LITE,LITETime,ROCKET,MultiROCKET,3M4TSC
ACSF1,0.896,0.916,0.898,0.94,0.898,0.91,0.886,0.92,0.915
Adiac,0.8445,0.8332,0.822,0.8465,0.8102,0.8338,0.7834,0.8338,0.833
AllGestureWiimoteX,0.71,0.7406,0.7729,0.7871,0.7423,0.7657,0.79,0.7271,0.793
AllGestureWiimoteY,0.782,0.7937,0.8089,0.8229,0.7717,0.7886,0.7727,0.7729,0.7767
AllGestureWiimoteZ,0.6871,0.7257,0.7763,0.7929,0.7317,0.7529,0.7661,0.7529,0.7667
ArrowHead,0.84,0.8377,0.8457,0.8514,0.8217,0.84,0.8143,0.8686,0.8182
BME,0.844,0.9987,0.9947,0.9933,0.98,0.9933,1,1,0.9933
Beef,0.66,0.7533,0.7067,0.7,0.72,0.7667,0.8333,0.7667,0.7024
BeetleFly,0.9,0.85,0.83,0.85,0.87,0.9,0.9,0.85,0.85
BirdChicken,0.93,0.88,0.95,0.95,0.89,0.9,0.9,0.9,0.9
CBF,0.9938,0.9958,0.9989,0.9989,0.9976,0.9989,1,0.9967,1
Car,0.9067,0.9167,0.9033,0.9167,0.9233,0.9333,0.8467,0.9167,0.9233
Chinatown,0.9796,0.9784,0.9796,0.9825,0.9802,0.9825,0.9825,0.9796,0.9797
ChlorineConcentration,0.804,0.8528,0.8691,0.8732,0.8427,0.8484,0.8145,0.7841,0.8034
CinCECGTorso,0.8229,0.8378,0.7257,0.85,0.7825,0.8732,0.8362,0.9514,0.798
Coffee,1,1,1,1,1,1,1,1,1
Computers,0.8176,0.8056,0.7856,0.792,0.7952,0.812,0.7612,0.784,0.772
CricketX,0.7918,0.799,0.8385,0.8513,0.8087,0.8308,0.8195,0.8077,0.8119
CricketY,0.7821,0.8103,0.8421,0.859,0.8328,0.8769,0.8523,0.8436,0.8462
CricketZ,0.8005,0.8087,0.8477,0.8538,0.8436,0.8615,0.8559,0.8359,0.8454
Crop,0.7395,0.7429,0.7524,0.7701,0.7152,0.7573,0.7513,0.7748,0.7489
DiatomSizeReduction,0.3588,0.3007,0.9418,0.9444,0.9529,0.9608,0.9699,0.9608,0.9611
DistalPhalanxOutlineAgeGroup,0.7122,0.718,0.7367,0.741,0.7237,0.7122,0.759,0.7698,0.7929
DistalPhalanxOutlineCorrect,0.7601,0.7703,0.7797,0.7935,0.7522,0.7609,0.7696,0.8007,0.7971
DistalPhalanxTW,0.6935,0.6633,0.6604,0.6763,0.6835,0.7122,0.7187,0.6906,0.7357
DodgerLoopDay,0.3975,0.15,0.545,0.5875,0.54,0.575,0.5725,0.6,0.55
DodgerLoopGame,0.7652,0.7101,0.8464,0.8623,0.8029,0.8188,0.8732,0.8333,0.8435
DodgerLoopWeekend,0.9116,0.9522,0.9681,0.971,0.9681,0.971,0.9746,0.9783,0.9783
ECG200,0.88,0.874,0.926,0.93,0.896,0.92,0.906,0.92,0.94
ECG5000,0.9405,0.9351,0.9379,0.94,0.9401,0.9427,0.9472,0.9464,0.9451
ECGFiveDays,0.9882,0.9663,0.9986,1,0.9977,0.9977,1,1,0.9942
EOGHorizontalSignal,0.5735,0.5994,0.5851,0.5912,0.5994,0.6354,0.639,0.6575,0.6409
EOGVerticalSignal,0.4541,0.4453,0.4652,0.4558,0.3901,0.4116,0.5414,0.5359,0.4779
Earthquakes,0.718,0.7122,0.7295,0.7482,0.7108,0.7338,0.7482,0.7482,0.7649
ElectricDevices,0.7075,0.7279,0.7061,0.7209,0.6789,0.7025,0.7294,0.7354,0.7165
EthanolLevel,0.6796,0.7584,0.812,0.822,0.6988,0.74,0.5828,0.638,0.652
FaceAll,0.9381,0.8667,0.7908,0.7929,0.7914,0.7929,0.9465,0.7994,0.8
FaceFour,0.9273,0.9545,0.9614,0.9659,0.9523,0.9545,0.9773,0.9318,0.9245
FacesUCR,0.9443,0.9542,0.9661,0.9698,0.9545,0.962,0.9614,0.9615,0.9581
FiftyWords,0.6514,0.7402,0.8202,0.8374,0.7675,0.8066,0.8303,0.8593,0.7155
Fish,0.9611,0.9806,0.9771,0.9714,0.9806,0.9771,0.9794,0.9886,0.9755
FordA,0.9165,0.937,0.9558,0.9614,0.9536,0.9583,0.9444,0.9576,0.9243
FordB,0.7795,0.8131,0.8489,0.8605,0.8442,0.8531,0.8051,0.8383,0.8233
FreezerRegularTrain,0.9966,0.9985,0.9962,0.9965,0.998,0.9979,0.9976,0.9996,0.9909
FreezerSmallTrain,0.6973,0.8322,0.8556,0.8565,0.9531,0.9611,0.9496,0.9954,0.9505
Fungi,0.014,0.1774,1,1,0.9978,1,1,1,1
GestureMidAirD1,0.7,0.6985,0.7138,0.7462,0.74,0.7538,0.7169,0.7538,0.7548
GestureMidAirD2,0.6277,0.6677,0.7,0.7154,0.6738,0.7077,0.6608,0.7077,0.6462
GestureMidAirD3,0.3262,0.34,0.3692,0.3692,0.3846,0.4231,0.4146,0.5154,0.5192
GesturePebbleZ1,0.8791,0.9012,0.9233,0.9244,0.9116,0.9186,0.9058,0.9186,0.9012
GesturePebbleZ2,0.7848,0.7772,0.881,0.8861,0.8797,0.8987,0.8304,0.8608,0.8735
GunPoint,0.9973,0.9907,0.9987,0.8861,0.9973,1,1,1,1
GunPointAgeSpan,0.9918,0.9968,0.9886,0.9873,0.9918,0.9905,0.9968,1,0.9874
GunPointMaleVersusFemale,0.9962,0.9924,0.9943,0.9937,0.9905,0.9905,0.9984,1,1
GunPointOldVersusYoung,0.9879,0.9892,0.9689,0.9746,0.9714,0.9778,0.9911,1,1
Ham,0.7143,0.7581,0.7143,0.7143,0.7219,0.7143,0.7257,0.7238,0.75
HandOutlines,0.8114,0.9135,0.9454,0.9568,0.9373,0.9541,0.9424,0.9514,0.9521
Haptics,0.474,0.5097,0.5455,0.5649,0.5299,0.5649,0.524,0.5422,0.5658
Herring,0.65,0.6,0.6844,0.6875,0.6906,0.7656,0.6922,0.6875,0.6933
HouseTwenty,0.9815,0.9832,0.9798,0.9832,0.9815,0.9832,0.9639,0.9916,0.9687
InlineSkate,0.3233,0.3771,0.4807,0.5055,0.5433,0.5509,0.4569,0.4709,0.51
InsectEPGRegularTrain,0.9984,0.9976,0.9968,0.996,0.9952,0.996,1,1,1
InsectEPGSmallTrain,0.2972,0.3719,0.9414,0.9438,0.955,0.9639,0.9791,1,0.9375
InsectWingbeatSound,0.3925,0.4993,0.6291,0.6318,0.6104,0.6333,0.6568,0.6727,0.6272
ItalyPowerDemand,0.9627,0.9615,0.966,0.965,0.9685,0.967,0.9696,0.9679,0.963
LargeKitchenAppliances,0.8997,0.9013,0.9008,0.8987,0.8816,0.8907,0.9005,0.8827,0.8844
Lightning2,0.7344,0.7803,0.7902,0.7869,0.7541,0.7541,0.759,0.6721,0.7258
Lightning7,0.8274,0.8274,0.8137,0.8219,0.8274,0.8356,0.8233,0.8493,0.8286
Mallat,0.9703,0.9736,0.956,0.962,0.9476,0.9586,0.9559,0.9271,0.9444
Meat,0.7833,0.99,0.93,0.95,0.9133,0.9333,0.9483,0.9167,0.883
MedicalImages,0.7826,0.7697,0.7916,0.8,0.7526,0.7855,0.7995,0.8079,0.731
MelbournePedestrian,0.9143,0.9092,0.9054,0.9102,0.8986,0.9057,0.9044,0.9627,0.8767
MiddlePhalanxOutlineAgeGroup,0.5351,0.5455,0.5221,0.539,0.5247,0.513,0.5903,0.6364,0.6154
MiddlePhalanxOutlineCorrect,0.7918,0.8261,0.8213,0.8282,0.8268,0.8488,0.8385,0.8591,0.8117
MiddlePhalanxTW,0.5,0.4948,0.5039,0.5325,0.5078,0.5,0.5604,0.539,0.6099
MixedShapesRegularTrain,0.9579,0.9729,0.9644,0.9699,0.9768,0.9806,0.9711,0.9794,0.9452
MixedShapesSmallTrain,0.8943,0.9165,0.9101,0.913,0.9386,0.9439,0.9382,0.9616,0.94
MoteStrain,0.9343,0.924,0.8949,0.8962,0.8757,0.8826,0.9146,0.9417,0.8942
NonInvasiveFetalECGThorax1,0.9538,0.9414,0.9563,0.9593,0.9522,0.9598,0.953,0.9588,0.9481
NonInvasiveFetalECGThorax2,0.9528,0.9436,0.9575,0.9618,0.9538,0.9608,0.9691,0.9684,0.9589
OSULeaf,0.9678,0.9802,0.9298,0.9339,0.9562,0.9545,0.9409,0.9545,0.94
OliveOil,0.5067,0.8467,0.8467,0.8667,0.6933,0.8,0.9167,0.9667,0.875
PLAID,0.9035,0.9404,0.9371,0.9423,0.9065,0.9199,0.9026,0.9348,0.8426
PhalangesOutlinesCorrect,0.8217,0.8452,0.8347,0.859,0.8217,0.8403,0.8343,0.8345,0.8334
Phoneme,0.3254,0.3334,0.329,0.3402,0.3094,0.337,0.2799,0.3476,0.3075
PickupGestureWiimoteZ,0.744,0.704,0.748,0.76,0.756,0.78,0.83,0.84,0.8333
PigAirwayPressure,0.1923,0.4058,0.748,0.5433,0.3471,0.4712,0.0952,0.5962,0.5673
PigArtPressure,0.9875,0.9913,0.9923,0.9952,0.9933,0.9952,0.9538,0.9519,0.9423
PigCVP,0.8038,0.9183,0.9481,0.9615,0.9356,0.9471,0.9341,0.8702,0.9122
Plane,1,1,1,1,1,1,1,1,1
PowerCons,0.8722,0.8789,0.95,0.9556,0.9444,0.9611,0.94,0.9944,0.9833
ProximalPhalanxOutlineAgeGroup,0.8302,0.8468,0.8332,0.839,0.8371,0.8537,0.8556,0.8537,0.851
ProximalPhalanxOutlineCorrect,0.899,0.9196,0.9134,0.9278,0.9052,0.9175,0.899,0.9175,0.918
ProximalPhalanxTW,0.7698,0.7727,0.7698,0.7854,0.7815,0.8049,0.8166,0.8195,0.8029
RefrigerationDevices,0.5104,0.5301,0.5131,0.5147,0.4965,0.496,0.5373,0.528,0.5133
Rock,0.632,0.552,0.78,0.82,0.828,0.86,0.9,0.86,0.8654
ScreenType,0.6203,0.6155,0.5845,0.5893,0.5659,0.5893,0.4853,0.56,0.6062
SemgHandGenderCh2,0.8313,0.8237,0.8153,0.8167,0.8437,0.8683,0.9268,0.9517,0.8783
SemgHandMovementCh2,0.4782,0.4391,0.4067,0.4444,0.4787,0.5111,0.6451,0.7689,0.6472
SemgHandSubjectCh2,0.7418,0.7387,0.7849,0.8111,0.7676,0.8022,0.8811,0.9178,0.8556
ShakeGestureWiimoteZ,0.884,0.88,0.888,0.9,0.928,0.96,0.898,0.94,0.92
ShapeletSim,0.7478,0.7822,0.9522,0.9889,0.7378,0.75,1,1,0.95
ShapesAll,0.8923,0.9263,0.92,0.925,0.8997,0.9133,0.9068,0.9217,0.9125
SmallKitchenAppliances,0.776,0.7813,0.7579,0.776,0.7579,0.7707,0.8184,0.8213,0.774
SmoothSubspace,0.9693,0.98,0.98,0.98,0.984,0.9867,0.9787,0.98,0.993
SonyAIBORobotSurface1,0.9651,0.9607,0.8666,0.8669,0.8416,0.8353,0.9225,0.8869,0.947
SonyAIBORobotSurface2,0.9773,0.9754,0.954,0.9591,0.9396,0.9412,0.9126,0.9402,0.9583
StarLightCurves,0.9663,0.9723,0.9776,0.9798,0.9744,0.9767,0.981,0.9817,0.9685
Strawberry,0.9697,0.98,0.9827,0.9838,0.9784,0.9838,0.9814,0.9811,0.9784
SwedishLeaf,0.967,0.9626,0.9661,0.9696,0.9558,0.9616,0.964,0.9792,0.9169
Symbols,0.9644,0.8931,0.9811,0.9819,0.9807,0.9829,0.9743,0.9829,0.9583
SyntheticControl,0.9873,0.9967,0.9953,0.9967,0.9987,1,0.9997,0.9933,0.9933
ToeSegmentation1,0.9596,0.957,0.9649,0.9737,0.9693,0.9781,0.9684,0.9561,0.95
ToeSegmentation2,0.8877,0.8938,0.9477,0.9538,0.9277,0.9385,0.9238,0.9077,0.9146
Trace,1,1,1,1,1,1,1,1,1
TwoLeadECG,0.9996,1,0.996,0.9956,0.9979,0.9982,0.9991,0.9982,0.9877
TwoPatterns,0.8695,1,1,1,1,1,1,1,1
UMD,0.9861,0.9903,0.9833,0.9861,0.9542,0.9653,0.9924,0.9931,1
UWaveGestureLibraryAll,0.8145,0.8608,0.9462,0.952,0.891,0.9123,0.9754,0.9799,0.9649
UWaveGestureLibraryX,0.7508,0.7812,0.8122,0.8219,0.8093,0.8294,0.8547,0.8696,0.8081
UWaveGestureLibraryY,0.6434,0.6658,0.7544,0.7669,0.7238,0.7616,0.774,0.7973,0.7334
UWaveGestureLibraryZ,0.7265,0.7486,0.755,0.761,0.7562,0.7808,0.7919,0.8155,0.7935
Wafer,0.9972,0.9981,0.9987,0.9987,0.999,0.999,0.9982,0.9995,0.9977
Wine,0.6259,0.7222,0.6667,0.6667,0.6407,0.6667,0.813,0.8889,0.8889
WordSynonyms,0.5643,0.6166,0.7292,0.7602,0.6787,0.7179,0.7534,0.7759,0.7046
Worms,0.7766,0.761,0.7688,0.7922,0.8104,0.8182,0.7403,0.7532,0.7667
WormsTwoClass,0.7325,0.7481,0.7584,0.7792,0.7844,0.7662,0.7974,0.7922,0.7972
Yoga,0.8424,0.8667,0.8998,0.9077,0.9067,0.9177,0.9104,0.919,0.915
